card_code,variant_label,drive_file_id
KR046,,1kNJ8_xnHBAMDFO3l8NY3PcHN91XKj_we
KR046,Stamp,1vf6YVySwvSAuLqbyTmjnlwkzpuROGZHy
KR046,Stamp Holo,1525Ip5Pup6t8oH47Qz4-69HLQNOO2vE-
KT001,,1Q3fTWA68sPNZlvetw6b59JQGp6WF6Jtb
KT002,,1kS8v7StD-dxUu1xWr52Ru5VH0xkTbMNz
KT003,,1lldfYHfGL1Ss6HBvg-5-KGGoHgJ56Mof
KT004,,1dr71KdxIHS5Fi7PwhoutT2FocsE4luiL
KT005,,19Dsuenyjy-idKb1G4Wyesg4soD74GZms
KT006,,1vcbv3IQLHB0B6K81yH6pPv7QxuXkjU9M
KT007,,1ZDV-e7zgDbxT3BgDtooZ-4PQRWgIUVYI
KT008,,1r0FHdxfJMmcVNavl2jbNZu_LwtVK7WMw
KT008,Arte 2,1UyoxtXU4DCVB5D9MDSIbRcc6XiXu0FXH
KT009,,1Zx-b2HInSeLzW60BitxH8c6s6hDxquHB
KT010,,1m0DkQWxWqltkNIcrHFIW00HKrrMrUV0u
KT011,,1fhj5WK_s_VtFEew7eGJEb1l6yTJ9r9E_
KT012,,1bhqwplBA_cLtQ6x7Q1I76Z8pcTERYJTp
KT013,,1LOMU1ve3178jUOtMdXfhm56aWZOvVcmY
KT013,Arte 2,1bbNWmoBM1SyV-F39ytVjdMUCghRKf5Mg
KT014,,1c8hI-j6bg1cud3vatNRWapNpD-xUNPuL
KT015,,1pPRymqQh79h4kh9YGuB1emx_bfuzFeGo
KT016,,152btNWt9J-ZxFa4hwzDMAfR4AOXPBPIS
KT017,,1puweqsPAnsdFY7-b6faLJXziN0slYVtR
KT018,,1InzV1y_-xK5XoFAyNa4Pj5-nJ6lWQgyf
KT019,,1K7yhyc7UFj9COWRC2hH-YU6jbXLVeJxd
KT020,,1AyIH249k9PsRfx6YjusVVmJGeSGJPSs8
KT021,,1PJyhSXkgRU-NbSspmNOfcxsIbevst9Tf
KT022,,13kNu48cupoJNQHiRT1wtXwR0Js9BiqXj
KT022,Arte 2,1sVOcIy0_cdJnG9xlsAV9OHno5ps3Xihd
KT023,,1W7DB_YHUYoFNlXo5kJVVCbmEm2fXfJ5q
KT024,,1XgDs6sevrekh6Lk5OqA6sVvT5XpfVChM
KT025,,19Yi-jZt-U86FpmSiLLmqkcnjsOnMh0MF
KT026,,1gmquBzWu7OnnwKJr2SKx-HoZrtnmu8bx
KT026,Arte 2,16HC_UqGU6i-inpbdgPLK1bu1lxycyme8
KT027,,18OUlS10jzqZb5soU0XA8UlD9MlA-p1l9
KT027,Arte 2,1Y1XZS_zOlVtVhZbGO58xFUtbTB98rYJM
KT028,,1VAm7PIuW6UUYpm6zjdXw4iFxgvOa5cLS
KT029,,1tbQXac9rm1bbGn8qxY_mpbsVhzQV0swZ
KT030,,1aRDCRINYfx_SO-j5PKc7PAmynHYGEdpj
KT031,,1_Rswv3VTLNFC_3HD5-6czZZyyyHX-SCU
KT032,,13vxghYJAOw1A1QqeM9zC-7yxw6BfTT1a
KT033,,1Ow5gpAjzD9WWQ20ERzjQuReyK6of-Inx
KT033,Arte 2,19okJkERLTaqwNduX1ubIN5rUdPNbdVVd
KT034,,11CuqfF3mx_5l82YY4BQEdqEwmgf_y1b5
KT035,,1YhCJWS-0VV60kMOzV__gR2eq1g-JSNDO
KT036,,19S8PBFYZvc_ifEy8OXTWko3NwNhiZSBf
KT037,,1yWmMloIJeYOH-zfiinvhcTSua8WVjW5z
